model,vectorizer,accuracy,precision,recall,f1_score,balanced_accuracy,matthews_corrcoef,training_time,roc_auc
ada_boost_tree,tfidf_unigram,0.528169014084507,0.7515801522918429,0.528169014084507,0.36890035748258615,0.5037037037037037,0.0624500847660933,0.013305187225341797,0.5037037037037038
ada_boost_simple,tfidf_unigram,0.5246478873239436,0.27525540567347745,0.5246478873239436,0.3610740656409589,0.5,0.0,0.05560612678527832,0.5037037037037038
gradient_boost_custom,tfidf_unigram,0.5316901408450704,0.7525596843472181,0.5316901408450704,0.3766284771477102,0.5074074074074074,0.08847421003812489,0.10548615455627441,0.512670892368879
weighted_ensemble,tfidf_unigram,0.5404929577464789,0.6820332249909714,0.5404929577464789,0.4010698726887149,0.5170146656723837,0.11363843967540437,0.1534290313720703,0.5249627143922445
bagging_lr,tfidf_unigram,0.5404929577464789,0.6820332249909714,0.5404929577464789,0.4010698726887149,0.5170146656723837,0.11363843967540437,3.946936845779419,0.5248632861048967
bagging_sgd,tfidf_unigram,0.5352112676056338,0.6941838531187123,0.5352112676056338,0.38715636374973694,0.5112851106139696,0.0956504071638544,0.1256580352783203,0.5185371613223962
calibrated_rf,tfidf_unigram,0.5422535211267606,0.7159919951362853,0.5422535211267606,0.4020032297025965,0.5186925180213771,0.12982543875085958,0.38144898414611816,0.5282189908028835
calibrated_svm,tfidf_unigram,0.5352112676056338,0.6941838531187123,0.5352112676056338,0.38715636374973694,0.5112851106139696,0.0956504071638544,0.020838022232055664,0.5184812329107631
ovr_nb,tfidf_unigram,0.5387323943661971,0.7070649704679691,0.5387323943661971,0.3946247578931533,0.5149888143176734,0.11383352640017032,0.010846138000488281,0.5180524484215759
ovr_svm,tfidf_unigram,0.5422535211267606,0.7159919951362853,0.5422535211267606,0.4020032297025965,0.5186925180213771,0.12982543875085958,0.01148223876953125,0.5186925180213771
feature_selection_lr,tfidf_unigram,0.5404929577464789,0.6820332249909714,0.5404929577464789,0.4010698726887149,0.5170146656723837,0.11363843967540437,0.02255415916442871,0.5250062142679592
feature_selection_rf,tfidf_unigram,0.5404929577464789,0.6820332249909714,0.5404929577464789,0.4010698726887149,0.5170146656723837,0.11363843967540437,0.1789560317993164,0.5249627143922445
stress_focused_ensemble,tfidf_unigram,0.5404929577464789,0.6820332249909714,0.5404929577464789,0.4010698726887149,0.5170146656723837,0.11363843967540437,0.10786986351013184,0.5249378573204075
XGBoost,tfidf_unigram,0.5316901408450704,0.7525596843472181,0.5316901408450704,0.3766284771477102,0.5074074074074074,0.08847421003812489,0.060004234313964844,0.512670892368879
LightGBM,tfidf_unigram,0.48063380281690143,0.5355086105401492,0.48063380281690143,0.3378605643878156,0.50381556052697,0.02236547349192252,0.07920217514038086,0.507394978871489
CatBoost,tfidf_unigram,0.5404929577464789,0.6820332249909714,0.5404929577464789,0.4010698726887149,0.5170146656723837,0.11363843967540437,0.20676302909851074,0.5249999999999999
LogisticRegression,tfidf_bigram,0.5545774647887324,0.6314333550547444,0.5545774647887324,0.44814461081921997,0.5332214765100671,0.1344592912558314,0.03565478324890137,0.5394668158090977
LogisticRegression_L1,tfidf_bigram,0.477112676056338,0.7510060362173038,0.477112676056338,0.3101881327885318,0.5016778523489933,0.039974424549814924,0.07239127159118652,0.512670892368879
RidgeClassifier,tfidf_bigram,0.5545774647887324,0.6314333550547444,0.5545774647887324,0.44814461081921997,0.5332214765100671,0.1344592912558314,0.011665105819702148,0.5332214765100671
SGDClassifier,tfidf_bigram,0.477112676056338,0.5123265297678021,0.477112676056338,0.32501387682996824,0.5008078548347005,0.005855033685512201,0.01695990562438965,0.5008078548347005
MultinomialNB,tfidf_bigram,0.551056338028169,0.6633789847742069,0.551056338028169,0.4300236818642563,0.5286477752920706,0.13948933124689025,0.009884834289550781,0.5337745463584389
ComplementNB,tfidf_bigram,0.551056338028169,0.6230242618940661,0.551056338028169,0.4415814291561048,0.5295177728063635,0.12260437529558917,0.013567924499511719,0.5338056176982351
BernoulliNB,tfidf_bigram,0.551056338028169,0.6633789847742069,0.551056338028169,0.4300236818642563,0.5286477752920706,0.13948933124689025,0.010934114456176758,0.5331531195625155
RandomForest,tfidf_bigram,0.5545774647887324,0.6714678087006327,0.5545774647887324,0.43686313350903994,0.5323514789957743,0.15185658707205985,0.17503905296325684,0.5367884663186676
ExtraTrees,tfidf_bigram,0.5475352112676056,0.6540731023556577,0.5475352112676056,0.4231068906078139,0.5249440715883669,0.1263936294207502,0.14836812019348145,0.5252423564504102
GradientBoosting,tfidf_bigram,0.5545774647887324,0.6714678087006327,0.5545774647887324,0.43686313350903994,0.5323514789957743,0.15185658707205985,0.09407687187194824,0.5311831966194381
LinearSVC,tfidf_bigram,0.5545774647887324,0.6314333550547444,0.5545774647887324,0.44814461081921997,0.5332214765100671,0.1344592912558314,0.011711835861206055,0.5332214765100671
KNN,tfidf_bigram,0.48063380281690143,0.5498301660273491,0.48063380281690143,0.3323692520513317,0.5041635595326871,0.027807799336201946,0.04961705207824707,0.5305804126273924
linear_stacking,tfidf_bigram,0.5545774647887324,0.6314333550547444,0.5545774647887324,0.44814461081921997,0.5332214765100671,0.1344592912558314,0.027698040008544922,0.5332214765100671
ada_boost_tree,tfidf_bigram,0.5246478873239436,0.27525540567347745,0.5246478873239436,0.3610740656409589,0.5,0.0,0.015358924865722656,0.5
ada_boost_simple,tfidf_bigram,0.5246478873239436,0.27525540567347745,0.5246478873239436,0.3610740656409589,0.5,0.0,0.057640790939331055,0.5
gradient_boost_custom,tfidf_bigram,0.5316901408450704,0.7525596843472181,0.5316901408450704,0.3766284771477102,0.5074074074074074,0.08847421003812489,0.12714076042175293,0.512670892368879
weighted_ensemble,tfidf_bigram,0.5580985915492958,0.678593054070054,0.5580985915492958,0.443626910124352,0.5360551826994779,0.16360415488665622,0.34659504890441895,0.5394108873974646
