model,vectorizer,accuracy,precision,recall,f1_score,balanced_accuracy,matthews_corrcoef,training_time,roc_auc
LogisticRegression,tfidf_unigram,0.5105633802816901,0.5057683924193881,0.5105633802816901,0.5028187958565916,0.5043251304996271,0.008931538940494614,3.1620090007781982,0.5226137211036539
LogisticRegression_L1,tfidf_unigram,0.5017605633802817,0.4967757994041063,0.5017605633802817,0.49455685448462866,0.4957618692518021,-0.008727458208869306,0.14025497436523438,0.5009259259259259
RidgeClassifier,tfidf_unigram,0.5105633802816901,0.5057683924193881,0.5105633802816901,0.5028187958565916,0.5043251304996271,0.008931538940494614,0.013125896453857422,0.5043251304996271
SGDClassifier,tfidf_unigram,0.5334507042253521,0.7530520601405949,0.5334507042253521,0.38045642666048024,0.5092592592592593,0.09900498326549309,0.02846693992614746,0.5092592592592593
BernoulliNB,tfidf_unigram,0.5387323943661971,0.5965850248550124,0.5387323943661971,0.4131354124065738,0.5162068108376834,0.08046601655330539,0.010648012161254883,0.5140069599801144
RandomForest,tfidf_unigram,0.5176056338028169,0.5061305331991952,0.5176056338028169,0.47333557957354355,0.5033805617698235,0.008271404418594952,0.20029687881469727,0.5076124782500622
ExtraTrees,tfidf_unigram,0.5387323943661971,0.5965850248550124,0.5387323943661971,0.4131354124065738,0.5162068108376834,0.08046601655330539,0.1591498851776123,0.5049652000994282
GradientBoosting,tfidf_unigram,0.522887323943662,0.5109034488621872,0.522887323943662,0.44338526409197543,0.5044121302510564,0.013324808183271641,0.12216496467590332,0.4977255779269203
LinearSVC,tfidf_unigram,0.5105633802816901,0.5057683924193881,0.5105633802816901,0.5028187958565916,0.5043251304996271,0.008931538940494614,0.012307882308959961,0.5043251304996271
KNN,tfidf_unigram,0.4894366197183099,0.4939294235357499,0.4894366197183099,0.48721007696632657,0.4928908774546359,-0.014343944364384993,0.05889725685119629,0.49728436490181455
linear_stacking,tfidf_unigram,0.5105633802816901,0.5057683924193881,0.5105633802816901,0.5028187958565916,0.5043251304996271,0.008931538940494614,0.048239707946777344,0.5043251304996271
