model,vectorizer,accuracy,f1_score,precision,recall,balanced_accuracy,mcc,training_time,status,roc_auc
XGBoost_Tuned,ultimate_feature_union,0.5264084507042254,0.36499962597932584,0.7510929776187992,0.5264084507042254,0.5018518518518519,0.04411992042905499,0.14599084854125977,success,
LightGBM,ultimate_feature_union,0.4753521126760563,0.30631281723755416,0.22595963102559014,0.4753521126760563,0.5,0.0,0.13587713241577148,success,
LightGBM_Tuned,ultimate_feature_union,0.4753521126760563,0.30631281723755416,0.22595963102559014,0.4753521126760563,0.5,0.0,0.04894065856933594,success,
CatBoost,ultimate_feature_union,0.5105633802816901,0.41251532181595324,0.47499588973529905,0.5105633802816901,0.4905791697738006,-0.03207973320536836,1.050624132156372,success,
LogisticRegression,mental_health_tfidf,0.4753521126760563,0.30631281723755416,0.22595963102559014,0.4753521126760563,0.5,0.0,0.01335000991821289,success,
LogisticRegression_L1,mental_health_tfidf,0.4753521126760563,0.30631281723755416,0.22595963102559014,0.4753521126760563,0.5,0.0,0.01471400260925293,success,
LogisticRegression_L2,mental_health_tfidf,0.4753521126760563,0.30631281723755416,0.22595963102559014,0.4753521126760563,0.5,0.0,0.009386062622070312,success,
RidgeClassifier,mental_health_tfidf,0.4753521126760563,0.30631281723755416,0.22595963102559014,0.4753521126760563,0.5,0.0,0.009727954864501953,success,
SGDClassifier,mental_health_tfidf,0.4753521126760563,0.30631281723755416,0.22595963102559014,0.4753521126760563,0.5,0.0,0.00841379165649414,success,
MultinomialNB,mental_health_tfidf,0.5246478873239436,0.3610740656409589,0.27525540567347745,0.5246478873239436,0.5,0.0,0.007359981536865234,success,
ComplementNB,mental_health_tfidf,0.4753521126760563,0.30631281723755416,0.22595963102559014,0.4753521126760563,0.5,0.0,0.00698399543762207,success,
BernoulliNB,mental_health_tfidf,0.5246478873239436,0.3610740656409589,0.27525540567347745,0.5246478873239436,0.5,0.0,0.007380962371826172,success,
LinearSVC,mental_health_tfidf,0.4753521126760563,0.30631281723755416,0.22595963102559014,0.4753521126760563,0.5,0.0,0.007726192474365234,success,
SVC_RBF,mental_health_tfidf,0.4753521126760563,0.30631281723755416,0.22595963102559014,0.4753521126760563,0.5,0.0,0.35939717292785645,success,
RandomForest,mental_health_tfidf,0.5246478873239436,0.3610740656409589,0.27525540567347745,0.5246478873239436,0.5,0.0,0.28320813179016113,success,
ExtraTrees,mental_health_tfidf,0.4753521126760563,0.30631281723755416,0.22595963102559014,0.4753521126760563,0.5,0.0,0.21409296989440918,success,
GradientBoosting,mental_health_tfidf,0.5246478873239436,0.3610740656409589,0.27525540567347745,0.5246478873239436,0.5,0.0,0.06660199165344238,success,
AdaBoost,mental_health_tfidf,0.5246478873239436,0.3610740656409589,0.27525540567347745,0.5246478873239436,0.5,0.0,0.13071107864379883,success,
BaggingLR,mental_health_tfidf,0.5246478873239436,0.3610740656409589,0.27525540567347745,0.5246478873239436,0.5,0.0,0.10439395904541016,success,
BaggingSGD,mental_health_tfidf,0.5246478873239436,0.3610740656409589,0.27525540567347745,0.5246478873239436,0.5,0.0,0.06834101676940918,success,
VotingClassifier,mental_health_tfidf,0.4753521126760563,0.30631281723755416,0.22595963102559014,0.4753521126760563,0.5,0.0,0.18105602264404297,success,
StackingClassifier,mental_health_tfidf,0.5246478873239436,0.3610740656409589,0.27525540567347745,0.5246478873239436,0.5,0.0,0.07158184051513672,success,
