model,vectorizer,accuracy,f1_score,precision,recall,balanced_accuracy,mcc,training_time,status,error
XGBoost,tfidf_bigram,0.5246478873239436,0.3610740656409589,0.27525540567347745,0.5246478873239436,0.5,0.0,0.014178991317749023,success,
LightGBM,tfidf_bigram,0.4753521126760563,0.30631281723755416,0.22595963102559014,0.4753521126760563,0.5,0.0,0.008424043655395508,success,
LogisticRegression,count_tfidf_ensemble,0.5334507042253521,0.3862700045645954,0.647528282395626,0.5334507042253521,0.5096072582649764,0.07684087768928868,0.01578688621520996,success,
bagging_sgd,count_tfidf_ensemble,0.5352112676056338,0.38715636374973694,0.6941838531187123,0.5352112676056338,0.5112851106139696,0.0956504071638544,0.04026508331298828,success,
bagging_lr,count_tfidf_ensemble,0.5334507042253521,0.3862700045645954,0.647528282395626,0.5334507042253521,0.5096072582649764,0.07684087768928868,0.02596879005432129,success,
RidgeClassifier,count_tfidf_ensemble,0.5334507042253521,0.3862700045645954,0.647528282395626,0.5334507042253521,0.5096072582649764,0.07684087768928868,0.004242897033691406,success,
SGDClassifier,count_tfidf_ensemble,0.5334507042253521,0.3862700045645954,0.647528282395626,0.5334507042253521,0.5096072582649764,0.07684087768928868,0.004230976104736328,success,
LinearSVC,count_tfidf_ensemble,0.5334507042253521,0.3862700045645954,0.647528282395626,0.5334507042253521,0.5096072582649764,0.07684087768928868,0.0035860538482666016,success,
RandomForest,count_tfidf_ensemble,0.5352112676056338,0.38715636374973694,0.6941838531187123,0.5352112676056338,0.5112851106139696,0.0956504071638544,0.18294811248779297,success,
GradientBoosting,count_tfidf_ensemble,0.5334507042253521,0.3862700045645954,0.647528282395626,0.5334507042253521,0.5096072582649764,0.07684087768928868,0.051972150802612305,success,
stress_focused_ensemble,count_tfidf_ensemble,0.5352112676056338,0.38715636374973694,0.6941838531187123,0.5352112676056338,0.5112851106139696,0.0956504071638544,0.21324896812438965,success,
voting_soft,count_tfidf_ensemble,0.5352112676056338,0.38715636374973694,0.6941838531187123,0.5352112676056338,0.5112851106139696,0.0956504071638544,0.1152029037475586,success,
linear_stacking,count_tfidf_ensemble,0.5334507042253521,0.3862700045645954,0.647528282395626,0.5334507042253521,0.5096072582649764,0.07684087768928868,0.04140806198120117,success,
calibrated_rf,count_tfidf_ensemble,0.5352112676056338,0.38715636374973694,0.6941838531187123,0.5352112676056338,0.5112851106139696,0.0956504071638544,0.31995487213134766,success,
XGBoost,count_tfidf_ensemble,0.5246478873239436,0.3610740656409589,0.27525540567347745,0.5246478873239436,0.5,0.0,0.017067909240722656,success,
LightGBM,count_tfidf_ensemble,0.4753521126760563,0.30631281723755416,0.22595963102559014,0.4753521126760563,0.5,0.0,0.007480144500732422,success,
LogisticRegression,mental_health_focused,0.4753521126760563,0.30631281723755416,0.22595963102559014,0.4753521126760563,0.5,0.0,0.015736103057861328,success,
bagging_sgd,mental_health_focused,0.4753521126760563,0.30631281723755416,0.22595963102559014,0.4753521126760563,0.5,0.0,0.04085516929626465,success,
bagging_lr,mental_health_focused,0.4753521126760563,0.30631281723755416,0.22595963102559014,0.4753521126760563,0.5,0.0,0.02706313133239746,success,
RidgeClassifier,mental_health_focused,0.4753521126760563,0.30631281723755416,0.22595963102559014,0.4753521126760563,0.5,0.0,0.0041179656982421875,success,
SGDClassifier,mental_health_focused,0.4753521126760563,0.30631281723755416,0.22595963102559014,0.4753521126760563,0.5,0.0,0.003668069839477539,success,
LinearSVC,mental_health_focused,0.4753521126760563,0.30631281723755416,0.22595963102559014,0.4753521126760563,0.5,0.0,0.0034449100494384766,success,
RandomForest,mental_health_focused,0.5246478873239436,0.3610740656409589,0.27525540567347745,0.5246478873239436,0.5,0.0,0.16596603393554688,success,
GradientBoosting,mental_health_focused,0.5246478873239436,0.3610740656409589,0.27525540567347745,0.5246478873239436,0.5,0.0,0.037725210189819336,success,
stress_focused_ensemble,mental_health_focused,0.5246478873239436,0.3610740656409589,0.27525540567347745,0.5246478873239436,0.5,0.0,0.18660426139831543,success,
voting_soft,mental_health_focused,0.5246478873239436,0.3610740656409589,0.27525540567347745,0.5246478873239436,0.5,0.0,0.11331582069396973,success,
linear_stacking,mental_health_focused,0.5246478873239436,0.3610740656409589,0.27525540567347745,0.5246478873239436,0.5,0.0,0.04166603088378906,success,
calibrated_rf,mental_health_focused,0.5246478873239436,0.3610740656409589,0.27525540567347745,0.5246478873239436,0.5,0.0,0.30717897415161133,success,
XGBoost,mental_health_focused,0.5246478873239436,0.3610740656409589,0.27525540567347745,0.5246478873239436,0.5,0.0,0.009950876235961914,success,
LightGBM,mental_health_focused,0.4753521126760563,0.30631281723755416,0.22595963102559014,0.4753521126760563,0.5,0.0,0.007236003875732422,success,
LogisticRegression,count_bigram,0.5475352112676056,0.4349473996822269,0.6137332918496536,0.5475352112676056,0.5258140691026597,0.11021548526413043,0.015709877014160156,success,
bagging_sgd,count_bigram,0.545774647887324,0.41961896027205237,0.6488593566058354,0.545774647887324,0.523092219736515,0.11953030548589799,0.03961801528930664,success,
bagging_lr,count_bigram,0.545774647887324,0.42209517710265665,0.6381265534382767,0.545774647887324,0.5232662192393737,0.11551563112560406,0.0280911922454834,success,
RidgeClassifier,count_bigram,0.5475352112676056,0.4349473996822269,0.6137332918496536,0.5475352112676056,0.5258140691026597,0.11021548526413043,0.00434112548828125,success,
SGDClassifier,count_bigram,0.5475352112676056,0.4231068906078139,0.6540731023556577,0.5475352112676056,0.5249440715883669,0.1263936294207502,0.004724025726318359,success,
LinearSVC,count_bigram,0.5475352112676056,0.4349473996822269,0.6137332918496536,0.5475352112676056,0.5258140691026597,0.11021548526413043,0.0037310123443603516,success,
RandomForest,count_bigram,0.5475352112676056,0.4231068906078139,0.6540731023556577,0.5475352112676056,0.5249440715883669,0.1263936294207502,0.17707490921020508,success,
GradientBoosting,count_bigram,0.545774647887324,0.42209517710265665,0.6381265534382767,0.545774647887324,0.5232662192393737,0.11551563112560406,0.06013178825378418,success,
stress_focused_ensemble,count_bigram,0.5475352112676056,0.4231068906078139,0.6540731023556577,0.5475352112676056,0.5249440715883669,0.1263936294207502,0.19125103950500488,success,
